E9000000,rw,MODE,00h:STOP 80h:IPv4 C0h:IPv6 81h:FullRoute
E9000004-07,rw,TX0,Frame size
E9000008-0B,rw,TX0,Inter Frame Gap (minimal value:40h)
E900000C-0F,rw,TX0,Send ARP Request
E9000010-13,rw,TX0,Source IPv4 address
E9000014-17,rw,TX0,Source MAC address [47:32]
E9000018-1B,rw,TX0,Source MAC address [31:0]
E900001C-1F,,,Unused
E9000020-23,rw,TX0,Gateway IPv4 address
E9000024-27,r,TX0,Destination MAC address [47:32]
E9000028-2B,r,TX0,Destination MAC address [31:0]
E900002C-2F,rw,TX0,Destination IPv4 address
E9000030-33,,,Unused
E9000034-37,,,Unused
E9000038-3B,,,Unused
E900003C-3F,,,Unused
E9000040-43,r,TX0,PPS
E9000044-47,r,TX0,Throughput (bytes/sec)
E9000048-4B,,,Unused
E900004C-4F,r,TX0,Destination IPv4 address
E9000050-53,r,RX1,PPS
E9000054-57,r,RX1,Throughput (bytes/sec)
E9000058-5B,r,RX1,Latency (nsec)
E900005C-5F,r,RX1,Received IPv4 address
E9000060-63,r,RX2,PPS
E9000064-67,r,RX2,Throughput (bytes/sec)
E9000068-6B,r,RX2,Latency (nsec)
E900006C-6F,r,RX2,Received IPv4 address
E9000070-73,r,RX3,PPS
E9000074-77,r,RX3,Throughput (bytes/sec)
E9000078-7B,r,RX3,Latency (nsec)
E900007C-7F,r,RX3,Received IPv4 address
E9000080-8F,rw,TX0,Source IPv6 address
E9000090-9F,rw,TX0,Destination IPv6 address
